hr,hc,totalT,RT,CT
4.87,12.01,24.78,24.77,24.89
5.20,12.77,29.75,29.73,30.46
5.48,13.35,34.05,34.71,34.75
5.73,13.71,39.72,39.71,39.85
5.96,13.95,44.70,44.73,44.36
6.19,14.15,49.67,49.66,49.99
6.40,14.43,54.90,54.70,54.69
6.61,14.45,59.83,59.71,59.68
6.82,14.67,65.16,64.70,64.00
